Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
新頭殼newtalk,101657,2018-04-26 12:00:03 SGT,Link,537,74,180,3,66,36,25,303,0,,0,0,0,https://www.facebook.com/Newtalk.Page/posts/2016355591727162,反年改團體八百壯士攻擊媒體、毆打霹靂小組警察（影）,https://newtalk.tw/news/view/2018-04-26/122273,,反年改團體八百壯士攻擊媒體、毆打霹靂小組警察（影） | 政治 | 新頭殼 Newtalk,反年改團體八百壯士26日到立法院陳情抗議，結果發生攻擊採訪的媒體記者和警察，從事政治影像工作者邱萬興工作26日拍驚聳畫面，他說，參與社會運動也拍攝街頭運動30年，從來沒看過如此血腥衝突場面，過去毆打群眾的霹靂...,,,1224.0
新頭殼newtalk,101657,2018-04-26 10:30:02 SGT,Link,246,19,51,1,13,2,55,324,0,,0,0,0,https://www.facebook.com/Newtalk.Page/posts/2016286988400689,醫院是救人的地方，裡面還有很多跟病魔對抗的孩子😟,https://newtalk.tw/news/view/2018-04-26/122268,,反年改癱瘓兒童醫院 台大醫生：有小孩延誤就醫造成遺憾 | 社會 | 新頭殼 Newtalk,反年改團體「八百壯士」在25日在立院外陳抗，除了爬上拒馬、與警方對峙爆出毆打記者以外，甚至防警察包圍攻佔台大兒童醫院，造成醫院癱瘓，對此，台大醫院婦產科醫生施景中在臉書透露，佔領兒童醫院的老北杯和一些阿....,,,711.0
新頭殼newtalk,101657,2018-04-26 09:06:12 SGT,Link,146,49,56,0,22,49,1,283,0,,0,0,0,https://www.facebook.com/Newtalk.Page/posts/2016221108407277,八百壯士脫序》記者今晨再被潑尿拳擊 吳斯懷再度道歉,https://newtalk.tw/news/view/2018-04-26/122256,,八百壯士脫序》記者今晨再被潑尿拳擊 吳斯懷再度道歉 | 社會 | 新頭殼 Newtalk,反年改團體夜宿立法院前，今天將持續進行抗爭，副指揮官兼發言人吳斯懷上午再度針對昨天的打人事件道歉，並下令八百壯士退縮到慢車道，將快車道還給市民恢復交通。不過稍早，清晨5點多時，又發生媒體記者被陳抗者攻.....,,,606.0
新頭殼newtalk,101657,2018-04-26 09:53:03 SGT,Link,318,14,14,1,6,20,2,83,0,,0,0,0,https://www.facebook.com/Newtalk.Page/posts/2016254558403932,攻佔醫院，真的是大大的敗筆！,https://newtalk.tw/news/view/2018-04-26/122263,,爆料酸頭殼,一針見血！？,,,458.0
新頭殼newtalk,101661,2018-04-27 15:00:04 SGT,Link,373,9,10,28,2,25,0,1,0,,0,0,0,https://www.facebook.com/Newtalk.Page/posts/2017601401602581,逆轉！頂新魏應充二審從無罪改判15年,https://newtalk.tw/news/view/2018-04-27/122434,,逆轉！頂新魏應充二審從無罪改判15年 | 司法 | 新頭殼 Newtalk,頂新食品的劣油案進行到第二審，今天（27）早上台中高等法院宣判，被告魏應充遭判15年，其中6年得易科罰金，頂新製油公司也被判2.5億元的罰金，此外總經理陳茂嘉被判應執行6年6月、易科罰金5年，副總經理兼廠長常梅峰5年...,,,448.0
新頭殼newtalk,101661,2018-04-27 17:28:58 SGT,Link,344,9,30,3,24,15,0,0,0,,0,0,0,https://www.facebook.com/Newtalk.Page/posts/2017694021593319,#快訊 兩韓領導人宣佈，停止一切針對對方的敵對行為。 #歷史性的一刻,https://newtalk.tw/news/view/2018-04-27/122451,,兩韓峰會共同宣言：爭取在年內宣佈結束戰爭狀態 | 國際 | 新頭殼 Newtalk,據韓聯社報導，南韓當地時間27日下午，韓國總統文在寅和朝鮮最高領導人文在寅在結束兩韓峰會會談後簽署《板門店宣言》並發表共同協議，韓朝領導人商定爭取在年內宣佈結束戰爭狀態，力促韓朝美或韓朝美中會談；兩國領....,,,425.0
新頭殼newtalk,101657,2018-04-26 12:01:50 SGT,Link,162,31,14,2,6,10,49,94,0,,0,0,0,https://www.facebook.com/Newtalk.Page/posts/2016357381726983,本刊攝影記者現場直擊，拍下一幀幀讓人動容的影像！（圖多）,https://newtalk.tw/news/view/2018-04-26/122219,,良影一二》年輕員警激動落下男兒淚 同袍手套護頭令人動容 | 政治 | 新頭殼 Newtalk,立法院外交及國防委員會25日舉行「陸海空軍軍官士官服役條文修正草案」公聽會，八百壯士代表在場內表達不滿軍改方案，場外抗議情緒也十分高漲。反年改人士意圖突破警方防線，進入立法院，爆發警民衝突，有警察受傷倒....,,,368.0
新頭殼newtalk,101657,2018-04-26 18:00:03 SGT,Link,62,60,28,0,4,109,1,33,0,,0,0,0,https://www.facebook.com/Newtalk.Page/posts/2016599735036081,解放軍批台獨死路一條 如繼續恣意妄為 將進一步採取行動,https://newtalk.tw/news/view/2018-04-26/122349,,解放軍批台獨死路一條 如繼續恣意妄為 將進一步採取行動 | 政治 | 新頭殼 Newtalk,對岸空軍又來「繞島巡航」，對台心理戰意味不言而喻。中國國防部新聞局局長、國防部新聞發言人吳謙大校，今（26）日下午在例行記者會上答覆媒體詢問時喊話稱，近日，解放軍空軍出動多型多架戰機開展海上方向實戰化軍....,,,297.0
新頭殼newtalk,101657,2018-04-26 20:00:03 SGT,Link,125,15,24,2,4,2,1,98,0,,0,0,0,https://www.facebook.com/Newtalk.Page/posts/2016691248360263,現場直擊》搶相機、圍毆、狂踹 回顧反年改如何戕害新聞自由,https://newtalk.tw/news/view/2018-04-26/122363,,現場直擊》搶相機、圍毆、狂踹 回顧反年改如何戕害新聞自由 | 政治 | 新頭殼 Newtalk,在八百壯士副指揮官吳斯懷今（26）天下午宣布停止遊行後，反年改團體已漸漸從立法院散去，但回想起自己昨天被反年改人士群起圍毆狂踹，除了當下的恐懼外，仍感到莫名而氣憤不已。回顧昨天早上的年改公聽會，民進黨為....,,,271.0
新頭殼newtalk,101661,2018-04-27 21:10:05 SGT,Link,172,15,6,16,3,20,1,8,0,,0,0,0,https://www.facebook.com/Newtalk.Page/posts/2017878428241545,重選！教育部駁回管中閔台大校長聘任案,https://newtalk.tw/news/view/2018-04-27/122495,,重選！教育部駁回管中閔台大校長聘任案 | 政治 | 新頭殼 Newtalk,歷時3個月的審核，還換掉一個教育部長，台大校長當選人管中閔的聘任案今（27）日晚總算有結果，教育部次長林騰蛟表示，台大校長遴選有重大利益未迴避的適法疑慮，無法接受遴選結果，宣布駁回台灣大學講座教授管中閔的...,,,241.0
新頭殼newtalk,101661,2018-04-27 19:10:05 SGT,Link,58,21,6,1,4,112,1,13,0,,0,0,0,https://www.facebook.com/Newtalk.Page/posts/2017772314918823,第15世達賴喇嘛甄選惹議 華春瑩痛批美方：無知、傲慢！,https://newtalk.tw/news/view/2018-04-27/122444,,第15世達賴喇嘛甄選惹議 華春瑩痛批美方：無知、傲慢！ | 國際 | 新頭殼 Newtalk,外媒報導，美國參議院26日通過涉藏決議，稱甄選第十五世達賴喇嘛的職責只屬於第十四世達賴喇嘛的私人辦公室官員，中國政府對這一宗教活動的任何干預均無效。據瞭解，這是美國會參議院首次通過類似決議。對此，中國外....,,,216.0
